Payment Date,Total Payments Value,day_of_week,day_of_month,month,year,days_since_start
2024-12-21,24799.06,5,21,12,2024,234
2024-12-22,29141.06,6,22,12,2024,235
2024-12-23,97090.33,0,23,12,2024,236
2024-12-24,21531.8,1,24,12,2024,237
2024-12-25,18159.84,2,25,12,2024,238
2024-12-26,47575.54,3,26,12,2024,239
2024-12-27,47358.5,4,27,12,2024,240
2024-12-28,58639.619999999995,5,28,12,2024,241
2024-12-29,13972.47,6,29,12,2024,242
2024-12-30,39547.97,0,30,12,2024,243
2024-12-31,25911.620000000003,1,31,12,2024,244
2025-01-01,59459.469999999994,2,1,1,2025,245
2025-01-02,57747.479999999996,3,2,1,2025,246
2025-01-03,53074.66,4,3,1,2025,247
2025-01-04,27226.46,5,4,1,2025,248
2025-01-05,22066.43,6,5,1,2025,249
2025-01-06,60735.86,0,6,1,2025,250
2025-01-07,78025.55,1,7,1,2025,251
2025-01-08,75610.59,2,8,1,2025,252
2025-01-09,67854.0,3,9,1,2025,253
2025-01-10,52240.65,4,10,1,2025,254
2025-01-11,21289.65,5,11,1,2025,255
2025-01-12,28566.54,6,12,1,2025,256
2025-01-13,73629.95000000001,0,13,1,2025,257
2025-01-14,76953.61,1,14,1,2025,258
2025-01-15,61060.369999999995,2,15,1,2025,259
2025-01-16,63809.44,3,16,1,2025,260
2025-01-17,64358.29,4,17,1,2025,261
2025-01-18,20509.260000000002,5,18,1,2025,262
2025-01-19,20319.87,6,19,1,2025,263
2025-01-20,39825.68,0,20,1,2025,264
2025-01-21,48845.29,1,21,1,2025,265
2025-01-22,52451.92,2,22,1,2025,266
2025-01-23,58003.17,3,23,1,2025,267
2025-01-24,40149.55,4,24,1,2025,268
2025-01-25,21783.93,5,25,1,2025,269
2025-01-26,21817.379999999997,6,26,1,2025,270
2025-01-27,157081.68,0,27,1,2025,271
2025-01-28,55793.689999999995,1,28,1,2025,272
2025-01-29,27023.59,2,29,1,2025,273
2025-01-30,42525.5,3,30,1,2025,274
2025-01-31,47308.87,4,31,1,2025,275
2025-02-01,62041.81,5,1,2,2025,276
2025-02-02,27210.38,6,2,2,2025,277
2025-02-03,75463.62,0,3,2,2025,278
2025-02-04,72585.7,1,4,2,2025,279
2025-02-05,36604.05,2,5,2,2025,280
2025-02-06,34918.97,3,6,2,2025,281
2025-02-07,80855.42,4,7,2,2025,282
2025-02-08,30165.5,5,8,2,2025,283
2025-02-09,23916.04,6,9,2,2025,284
2025-02-10,81188.17,0,10,2,2025,285
2025-02-11,37434.479999999996,1,11,2,2025,286
2025-02-12,53537.979999999996,2,12,2,2025,287
2025-02-13,56920.17,3,13,2,2025,288
2025-02-14,46830.01,4,14,2,2025,289
2025-02-15,28997.120000000003,5,15,2,2025,290
2025-02-16,31094.32,6,16,2,2025,291
2025-02-17,41868.29,0,17,2,2025,292
2025-02-18,68328.34,1,18,2,2025,293
2025-02-19,31546.16,2,19,2,2025,294
2025-02-20,48216.880000000005,3,20,2,2025,295
2025-02-21,48351.55,4,21,2,2025,296
2025-02-22,29822.67,5,22,2,2025,297
2025-02-23,24928.59,6,23,2,2025,298
2025-02-24,102313.84999999999,0,24,2,2025,299
2025-02-25,79536.27,1,25,2,2025,300
2025-02-26,35946.56,2,26,2,2025,301
2025-02-27,57962.75,3,27,2,2025,302
2025-02-28,88564.2,4,28,2,2025,303
2025-03-01,60799.25,5,1,3,2025,304
2025-03-02,30267.8,6,2,3,2025,305
2025-03-03,117025.66,0,3,3,2025,306
2025-03-04,79025.76999999999,1,4,3,2025,307
2025-03-05,47075.58,2,5,3,2025,308
2025-03-06,46052.92,3,6,3,2025,309
2025-03-07,61978.27,4,7,3,2025,310
2025-03-08,34769.71,5,8,3,2025,311
2025-03-09,28959.969999999998,6,9,3,2025,312
2025-03-10,94868.87,0,10,3,2025,313
2025-03-11,50658.42999999999,1,11,3,2025,314
2025-03-12,57826.07,2,12,3,2025,315
2025-03-13,59981.729999999996,3,13,3,2025,316
2025-03-14,44736.29,4,14,3,2025,317
2025-03-15,27394.989999999998,5,15,3,2025,318
2025-03-16,35154.61,6,16,3,2025,319
2025-03-17,73565.88,0,17,3,2025,320
2025-03-18,49850.9,1,18,3,2025,321
2025-03-19,42166.0,2,19,3,2025,322
2025-03-20,103559.81,3,20,3,2025,323
2025-03-21,50689.08,4,21,3,2025,324
2025-03-22,32447.45,5,22,3,2025,325
2025-03-23,23498.78,6,23,3,2025,326
2025-03-24,113471.2,0,24,3,2025,327
2025-03-25,51303.68,1,25,3,2025,328
2025-03-26,41264.16,2,26,3,2025,329
2025-03-27,59083.91,3,27,3,2025,330
2025-03-28,79001.01000000001,4,28,3,2025,331
2025-03-29,13842.17,5,29,3,2025,332
2025-03-30,9251.279999999999,6,30,3,2025,333
2025-03-31,57797.91,0,31,3,2025,334
2025-04-01,108707.11,1,1,4,2025,335
2025-04-02,59717.22,2,2,4,2025,336
2025-04-03,59118.79,3,3,4,2025,337
2025-04-04,47746.0,4,4,4,2025,338
2025-04-05,23529.1,5,5,4,2025,339
2025-04-06,29369.71,6,6,4,2025,340
2025-04-07,76589.2,0,7,4,2025,341
2025-04-08,58213.520000000004,1,8,4,2025,342
2025-04-09,56514.2,2,9,4,2025,343
2025-04-10,55330.54,3,10,4,2025,344
2025-04-11,63312.46,4,11,4,2025,345
2025-04-12,27257.45,5,12,4,2025,346
2025-04-13,24433.780000000002,6,13,4,2025,347
2025-04-14,89192.87,0,14,4,2025,348
2025-04-15,52226.61,1,15,4,2025,349
2025-04-16,53329.41,2,16,4,2025,350
