Payment Date,Total Payments Value
2025-05-04,25893.93
2025-05-05,73104.54
2025-05-06,37611.66
2025-05-07,95267.1
2025-05-08,57323.74
2025-05-09,58798.28
2025-05-10,29347.59
2025-05-11,23609.55
2025-05-12,84495.62
2025-05-13,55618.700000000004
2025-05-14,44857.86
2025-05-15,75152.08
2025-05-16,51230.23
2025-05-17,32386.730000000003
2025-05-18,24147.92
2025-05-19,68764.14
2025-05-20,42829.630000000005
2025-05-21,43340.32
2025-05-22,48704.2
2025-05-23,45774.95
2025-05-24,27596.72
2025-05-25,23779.09
2025-05-26,41964.59
2025-05-27,97894.68
2025-05-28,71799.73
2025-05-29,55571.979999999996
2025-05-30,31612.190000000002
2025-05-31,7125.57
