Payment Date,Recurring,Total Payments Value
12/28/2024,1,"$38,292.50 "
12/28/2024,0,"$20,347.12 "
12/27/2024,1,"$27,725.14 "
12/27/2024,0,"$19,633.36 "
12/26/2024,1,"$13,849.96 "
12/26/2024,0,"$33,725.58 "
12/25/2024,1,"$15,733.68 "
12/25/2024,0,"$2,426.16 "
12/24/2024,1,"$16,323.66 "
12/24/2024,0,"$5,208.14 "
12/23/2024,1,"$15,459.70 "
12/23/2024,0,"$81,630.63 "
12/22/2024,1,"$23,432.84 "
12/22/2024,0,"$5,708.22 "
12/21/2024,1,"$20,302.47 "
12/21/2024,0,"$4,496.59 "
12/20/2024,1,"$19,897.87 "
12/20/2024,0,"$20,824.69 "
12/19/2024,1,"$15,438.17 "
12/19/2024,0,"$41,418.72 "
12/18/2024,1,"$15,288.99 "
12/18/2024,0,"$22,561.77 "
12/17/2024,1,"$19,052.47 "
12/17/2024,0,"$30,974.65 "
12/16/2024,1,"$23,851.44 "
12/16/2024,0,"$66,648.81 "
12/15/2024,1,"$19,340.14 "
12/15/2024,0,"$10,334.72 "
12/14/2024,1,"$15,924.80 "
12/14/2024,0,"$7,629.25 "
12/13/2024,1,"$20,985.38 "
12/13/2024,0,"$21,755.57 "
12/12/2024,1,"$20,011.33 "
12/12/2024,0,"$32,752.96 "
12/11/2024,1,"$12,743.74 "
12/11/2024,0,"$56,465.70 "
12/10/2024,1,"$17,319.26 "
12/10/2024,0,"$51,659.24 "
12/9/2024,1,"$17,150.99 "
12/9/2024,0,"$73,347.47 "
12/8/2024,1,"$21,232.71 "
12/8/2024,0,"$7,352.10 "
12/7/2024,1,"$16,908.61 "
12/7/2024,0,"$5,330.85 "
12/6/2024,1,"$15,975.01 "
12/6/2024,0,"$41,019.77 "
12/5/2024,1,"$14,419.19 "
12/5/2024,0,"$30,712.19 "
12/4/2024,1,"$17,144.57 "
12/4/2024,0,"$32,298.50 "
12/3/2024,1,"$18,028.56 "
12/3/2024,0,"$28,015.58 "
12/2/2024,1,"$17,949.94 "
12/2/2024,0,"$69,729.89 "
12/1/2024,1,"$48,919.25 "
12/1/2024,0,"$14,387.55 "
11/30/2024,1,"$4,900.26 "
11/30/2024,0,"$4,393.82 "
11/29/2024,1,"$5,832.27 "
11/29/2024,0,"$7,503.76 "
11/28/2024,1,"$37,398.03 "
11/28/2024,0,"$6,497.70 "
11/27/2024,1,"$28,718.87 "
11/27/2024,0,"$13,975.91 "
11/26/2024,1,"$13,689.76 "
11/26/2024,0,"$29,426.89 "
11/25/2024,1,"$16,610.19 "
11/25/2024,0,"$64,186.51 "
11/24/2024,1,"$15,968.28 "
11/24/2024,0,"$5,308.22 "
11/23/2024,1,"$15,012.00 "
11/23/2024,0,"$4,626.04 "
11/22/2024,1,"$20,374.79 "
